salary,monthly_savings,goal_years,risk_level,dependents,investment_experience,emergency_fund_months,debt_to_income,current_equity_value,current_debt_value,sip_amount,sip_active,num_stocks,num_mutual_funds,portfolio_total,equity_pct,sip_ratio,diversification_score,action
70906,9700,10,high,2,expert,7,0.07,101304,224677,0,False,4,10,325981,31.08,0.0,14,SWITCH_TO_EQUITY
83767,22817,14,high,0,expert,11,0.4,309374,92660,0,False,6,14,402034,76.95,0.0,20,START_SIP
43888,42330,13,medium,0,intermediate,3,0.54,220687,419654,24452,True,1,11,640341,34.46,0.5571,12,REDUCE_SIP
86905,37383,13,high,4,beginner,12,0.54,335478,144107,21756,True,9,0,479585,69.95,0.2503,9,REDUCE_SIP
24302,12312,7,high,1,beginner,12,0.37,81527,101945,11071,True,18,6,183472,44.44,0.4556,24,CONTINUE_SIP
62837,5747,2,low,3,intermediate,7,0.52,261168,113485,4597,True,7,3,374653,69.71,0.0732,10,SWITCH_TO_DEBT
83922,32327,5,high,0,intermediate,12,0.35,101919,260675,0,False,20,10,362594,28.11,0.0,30,BUY
75863,35272,2,medium,2,beginner,10,0.4,113812,257595,0,False,0,1,371407,30.64,0.0,1,DIVERSIFY_PORTFOLIO
44687,35388,8,medium,2,beginner,3,0.01,301445,35629,12660,True,10,3,337074,89.43,0.2833,13,REBALANCE
94691,28630,5,low,5,intermediate,7,0.6,434704,371760,21902,True,7,1,806464,53.9,0.2313,8,REDUCE_SIP
71005,12553,2,high,4,intermediate,4,0.23,69308,213277,0,False,15,12,282585,24.53,0.0,27,BUY
42394,41280,1,medium,4,beginner,9,0.25,78196,150140,0,False,5,6,228336,34.25,0.0,11,SELL
82699,22353,11,high,1,expert,7,0.25,427350,447817,19430,True,6,10,875167,48.83,0.2349,16,INCREASE_SIP
51325,5764,14,high,1,intermediate,11,0.37,226041,389098,0,False,4,12,615139,36.75,0.0,16,SWITCH_TO_EQUITY
93634,16316,4,medium,2,intermediate,3,0.0,74086,389232,152,True,11,5,463318,15.99,0.0016,16,CONTINUE_SIP
46312,22163,14,medium,5,intermediate,9,0.03,262712,257328,16104,True,19,6,520040,50.52,0.3477,25,REDUCE_SIP
41563,27896,8,high,2,intermediate,0,0.07,387294,487869,0,False,13,15,875163,44.25,0.0,28,EMERGENCY_FUND_BUILD
90766,6907,2,low,4,expert,5,0.06,322229,148759,0,False,4,11,470988,68.42,0.0,15,SWITCH_TO_DEBT
47467,34270,1,medium,1,expert,4,0.57,29976,107176,9398,True,15,1,137152,21.86,0.198,16,SELL
31219,15603,2,low,2,intermediate,3,0.55,240942,308362,0,False,6,8,549304,43.86,0.0,14,HOLD
93042,2240,9,medium,2,expert,5,0.59,177810,425946,9831,True,15,0,603756,29.45,0.1057,15,STOP_SIP
67708,2260,3,low,3,beginner,8,0.54,239314,170171,4404,True,14,12,409485,58.44,0.065,26,STOP_SIP
51325,5764,14,high,1,intermediate,11,0.37,226041,389098,0,False,4,12,615139,36.75,0.0,16,SWITCH_TO_EQUITY
90258,46363,10,high,3,intermediate,9,0.15,374121,74715,0,False,20,8,448836,83.35,0.0,28,REBALANCE
51126,23902,2,high,5,expert,8,0.0,190119,171743,0,False,9,9,361862,52.54,0.0,18,HOLD
84612,15901,15,medium,5,beginner,4,0.26,124199,226011,0,False,10,4,350210,35.46,0.0,14,START_SIP
83869,14693,3,high,1,intermediate,3,0.42,85057,375389,708,True,9,5,460446,18.47,0.0084,14,BUY
26544,46831,9,low,5,intermediate,0,0.38,369471,55870,0,False,4,6,425341,86.86,0.0,10,EMERGENCY_FUND_BUILD
68005,27106,4,high,0,intermediate,11,0.52,37405,263222,0,False,15,0,300627,12.44,0.0,15,BUY
74383,22242,5,high,1,beginner,12,0.24,36942,350102,0,False,0,15,387044,9.54,0.0,15,BUY
61598,35957,14,medium,2,intermediate,9,0.58,143875,222532,14319,True,17,7,366407,39.27,0.2325,24,REDUCE_SIP
48831,6734,11,medium,5,intermediate,7,0.41,20182,232929,0,False,5,11,253111,7.97,0.0,16,HOLD
45287,47169,4,high,1,intermediate,1,0.32,308888,186638,17870,True,6,14,495526,62.34,0.3946,20,EMERGENCY_FUND_BUILD
22655,11577,15,high,1,expert,6,0.11,229875,479506,20052,True,7,5,709381,32.41,0.8851,12,CONTINUE_SIP
40608,5204,6,medium,5,expert,10,0.02,428554,241955,18981,True,7,5,670509,63.91,0.4674,12,REDUCE_SIP
93511,14744,13,medium,2,intermediate,8,0.27,7951,467264,7422,True,17,7,475215,1.67,0.0794,24,CONTINUE_SIP
48180,2092,4,high,4,beginner,12,0.01,200645,424521,0,False,0,0,625166,32.09,0.0,0,DIVERSIFY_PORTFOLIO
35792,48989,11,low,2,expert,4,0.31,494981,256133,4122,True,8,11,751114,65.9,0.1152,19,INCREASE_SIP
57051,23747,5,low,3,expert,2,0.01,489262,224124,0,False,0,15,713386,68.58,0.0,15,EMERGENCY_FUND_BUILD
34141,44191,2,high,0,intermediate,6,0.36,359105,62663,2526,True,5,10,421768,85.14,0.074,15,REBALANCE
35892,21144,9,low,4,expert,5,0.15,371058,272993,9752,True,3,15,644051,57.61,0.2717,18,INCREASE_SIP
88172,10313,6,high,5,intermediate,4,0.34,197420,251810,0,False,13,14,449230,43.95,0.0,27,START_SIP
99833,39668,13,high,1,intermediate,6,0.41,343037,320223,13044,True,20,5,663260,51.72,0.1307,25,INCREASE_SIP
48247,26990,13,low,1,expert,11,0.43,406304,33762,0,False,5,15,440066,92.33,0.0,20,REBALANCE
34209,5646,12,medium,2,intermediate,6,0.18,190904,338096,8196,True,1,9,529000,36.09,0.2396,10,CONTINUE_SIP
58493,9084,9,high,5,expert,11,0.37,223867,444081,0,False,16,6,667948,33.52,0.0,22,SWITCH_TO_EQUITY
41972,29156,13,high,5,intermediate,6,0.57,65249,208836,0,False,16,7,274085,23.81,0.0,23,START_SIP
45557,25484,3,high,4,beginner,5,0.08,239261,25324,15225,True,16,7,264585,90.43,0.3342,23,REBALANCE
62215,9864,10,medium,3,beginner,8,0.53,262980,469720,21141,True,20,15,732700,35.89,0.3398,35,REDUCE_SIP
53458,5883,2,high,5,expert,9,0.03,193255,431509,19640,True,11,5,624764,30.93,0.3674,16,REDUCE_SIP
66365,41022,3,low,4,expert,8,0.31,1267,458613,0,False,9,12,459880,0.28,0.0,21,HOLD
39192,9303,11,high,0,expert,8,0.55,311816,259865,17899,True,9,13,571681,54.54,0.4567,22,REDUCE_SIP
36943,3436,15,high,0,expert,11,0.46,346889,144780,13313,True,16,15,491669,70.55,0.3604,31,REDUCE_SIP
85364,26838,15,high,0,expert,0,0.26,331200,210610,0,False,6,4,541810,61.13,0.0,10,EMERGENCY_FUND_BUILD
30596,25462,5,medium,2,beginner,9,0.15,19775,146933,21418,True,18,1,166708,11.86,0.7,19,CONTINUE_SIP
72771,2645,8,low,0,beginner,3,0.52,364546,331176,18623,True,20,4,695722,52.4,0.2559,24,STOP_SIP
82888,31178,4,high,4,expert,9,0.44,497279,248073,15944,True,15,3,745352,66.72,0.1924,18,REDUCE_SIP
27933,13828,7,high,3,beginner,11,0.57,287089,298064,6942,True,20,4,585153,49.06,0.2485,24,REDUCE_SIP
78914,10572,7,high,4,expert,10,0.53,456067,147620,21940,True,12,13,603687,75.55,0.278,25,REDUCE_SIP
82598,29981,13,medium,0,expert,3,0.2,420519,385754,0,False,15,13,806273,52.16,0.0,28,START_SIP
45426,2461,9,medium,4,beginner,11,0.05,361024,412323,19841,True,13,14,773347,46.68,0.4368,27,STOP_SIP
98282,2483,5,high,4,beginner,9,0.22,105923,309644,19787,True,12,0,415567,25.49,0.2013,12,STOP_SIP
64775,22019,3,high,2,expert,12,0.53,403272,488166,11500,True,0,7,891438,45.24,0.1775,7,REDUCE_SIP
21515,32185,1,low,4,expert,8,0.46,301457,412744,13097,True,3,14,714201,42.21,0.6087,17,SELL
21223,37389,11,high,0,intermediate,4,0.33,438530,28916,0,False,6,8,467446,93.81,0.0,14,REBALANCE
38890,5770,13,high,1,beginner,4,0.05,120805,228991,0,False,2,2,349796,34.54,0.0,4,SWITCH_TO_EQUITY
53971,4318,10,low,4,expert,10,0.58,1666,430087,0,False,0,13,431753,0.39,0.0,13,HOLD
91613,14092,15,high,0,beginner,12,0.58,306207,428230,0,False,16,11,734437,41.69,0.0,27,START_SIP
23574,28290,4,high,0,expert,3,0.5,327307,354111,24933,True,18,8,681418,48.03,1.0576,26,REDUCE_SIP
71897,31837,3,low,1,intermediate,5,0.15,292029,98741,0,False,20,14,390770,74.73,0.0,34,SWITCH_TO_DEBT
74606,15672,1,medium,4,expert,9,0.18,137120,348924,0,False,20,4,486044,28.21,0.0,24,SELL
67994,34236,2,high,0,expert,7,0.24,158374,403601,0,False,13,13,561975,28.18,0.0,26,BUY
80635,11443,3,low,1,intermediate,11,0.44,272342,266872,0,False,4,8,539214,50.51,0.0,12,SWITCH_TO_DEBT
36321,2899,9,high,4,intermediate,8,0.18,216199,291739,7179,True,6,2,507938,42.56,0.1977,8,STOP_SIP
58038,4469,8,high,5,beginner,5,0.49,188859,336392,22545,True,0,1,525251,35.96,0.3885,1,REDUCE_SIP
54077,9570,8,high,3,beginner,5,0.52,238641,416837,0,False,8,8,655478,36.41,0.0,16,SWITCH_TO_EQUITY
43666,13112,6,medium,5,beginner,12,0.58,367345,351487,0,False,4,14,718832,51.1,0.0,18,START_SIP
53050,11210,7,medium,2,expert,5,0.57,473296,336612,0,False,8,14,809908,58.44,0.0,22,START_SIP
31399,42645,9,low,3,expert,10,0.59,402107,163335,0,False,18,5,565442,71.11,0.0,23,START_SIP
60544,2485,14,medium,0,expert,9,0.58,360841,280522,7220,True,9,12,641363,56.26,0.1193,21,STOP_SIP
64811,4026,14,high,1,expert,6,0.12,220665,463765,0,False,20,10,684430,32.24,0.0,30,SWITCH_TO_EQUITY
51969,19639,7,high,2,intermediate,11,0.06,382604,44826,3414,True,13,8,427430,89.51,0.0657,21,REBALANCE
70251,3283,5,low,5,intermediate,11,0.17,260813,117255,0,False,19,1,378068,68.99,0.0,20,SWITCH_TO_DEBT
40791,13068,14,medium,1,intermediate,11,0.41,356012,254158,5498,True,10,10,610170,58.35,0.1348,20,CONTINUE_SIP
69847,12117,6,low,4,beginner,9,0.01,315678,349982,7452,True,12,11,665660,47.42,0.1067,23,CONTINUE_SIP
37043,2744,10,high,0,beginner,1,0.04,193679,295932,0,False,19,3,489611,39.56,0.0,22,SWITCH_TO_EQUITY
39446,32401,4,high,0,intermediate,4,0.6,348801,284948,2271,True,11,13,633749,55.04,0.0576,24,CONTINUE_SIP
66874,14531,6,low,3,intermediate,10,0.41,104856,13421,10940,True,10,8,118277,88.65,0.1636,18,REBALANCE
41045,43813,7,low,2,beginner,5,0.52,418042,8845,10264,True,20,6,426887,97.93,0.2501,26,REBALANCE
26050,13998,13,high,5,expert,7,0.59,63048,273658,24564,True,0,12,336706,18.72,0.943,12,REDUCE_SIP
97511,36799,14,low,0,intermediate,1,0.42,20736,402045,17534,True,14,1,422781,4.9,0.1798,15,EMERGENCY_FUND_BUILD
25283,38554,4,high,0,expert,6,0.04,86450,314599,0,False,2,4,401049,21.56,0.0,6,BUY
95863,36581,11,low,1,beginner,5,0.5,128410,492830,5243,True,6,2,621240,20.67,0.0547,8,INCREASE_SIP
46855,17813,1,medium,4,expert,9,0.13,450546,271485,19479,True,8,15,722031,62.4,0.4157,23,SELL
47716,37583,4,medium,4,intermediate,12,0.49,24715,171280,6767,True,8,4,195995,12.61,0.1418,12,CONTINUE_SIP
88774,4843,7,low,1,intermediate,5,0.18,212896,366121,0,False,0,2,579017,36.77,0.0,2,DIVERSIFY_PORTFOLIO
76116,21157,14,high,3,beginner,7,0.16,463380,16356,0,False,2,11,479736,96.59,0.0,13,REBALANCE
77730,2894,14,high,3,expert,7,0.16,317510,101268,15923,True,17,8,418778,75.82,0.2049,25,STOP_SIP
36571,5371,2,low,2,expert,3,0.11,281196,89811,0,False,7,1,371007,75.79,0.0,8,SWITCH_TO_DEBT
91088,31295,4,low,3,intermediate,6,0.46,214314,240234,0,False,0,0,454548,47.15,0.0,0,DIVERSIFY_PORTFOLIO
39816,2461,12,low,2,beginner,3,0.13,235264,432300,11647,True,2,1,667564,35.24,0.2925,3,STOP_SIP
55584,40650,2,medium,5,intermediate,9,0.21,136382,136146,0,False,0,0,272528,50.04,0.0,0,DIVERSIFY_PORTFOLIO
60379,9647,8,high,2,expert,6,0.01,87499,203999,0,False,4,15,291498,30.02,0.0,19,SWITCH_TO_EQUITY
30702,34609,3,low,1,beginner,11,0.29,236247,118808,12748,True,2,14,355055,66.54,0.4152,16,SWITCH_TO_DEBT
44853,17888,6,medium,4,beginner,4,0.52,95514,167040,0,False,8,5,262554,36.38,0.0,13,START_SIP
31944,12352,8,high,4,expert,5,0.32,405688,444840,18954,True,8,4,850528,47.7,0.5934,12,REDUCE_SIP
81608,10839,3,low,5,beginner,9,0.31,340502,264463,0,False,18,11,604965,56.28,0.0,29,SWITCH_TO_DEBT
80156,8499,7,low,3,expert,4,0.4,350062,245171,0,False,2,0,595233,58.81,0.0,2,DIVERSIFY_PORTFOLIO
57193,33236,6,high,1,expert,12,0.27,233427,457430,0,False,13,6,690857,33.79,0.0,19,START_SIP
20364,2397,4,medium,1,intermediate,12,0.13,353603,346622,17715,True,6,15,700225,50.5,0.8699,21,STOP_SIP
95160,36132,3,low,5,beginner,7,0.34,498835,312645,3145,True,3,12,811480,61.47,0.033,15,SWITCH_TO_DEBT
41760,14392,12,low,4,expert,10,0.49,128447,468480,15774,True,16,8,596927,21.52,0.3777,24,REDUCE_SIP
67316,13590,2,medium,3,beginner,10,0.2,202408,498246,0,False,7,10,700654,28.89,0.0,17,HOLD
55842,8635,3,low,4,expert,7,0.27,398391,369477,0,False,18,3,767868,51.88,0.0,21,SWITCH_TO_DEBT
42787,7493,15,high,2,intermediate,9,0.58,123255,225206,0,False,3,4,348461,35.37,0.0,7,SWITCH_TO_EQUITY
98542,2805,9,low,4,intermediate,5,0.34,8174,257208,23618,True,2,11,265382,3.08,0.2397,13,STOP_SIP
27925,31212,5,low,3,beginner,7,0.3,55845,252564,0,False,19,12,308409,18.11,0.0,31,HOLD
81868,34636,4,low,4,beginner,4,0.07,419244,175229,0,False,14,15,594473,70.52,0.0,29,SWITCH_TO_DEBT
91635,12461,7,high,2,beginner,6,0.57,54994,172618,20651,True,3,9,227612,24.16,0.2254,12,REDUCE_SIP
25594,42652,5,high,1,expert,4,0.09,186602,221399,20827,True,7,15,408001,45.74,0.8137,22,CONTINUE_SIP
64811,4026,14,high,1,expert,6,0.12,220665,463765,0,False,20,10,684430,32.24,0.0,30,SWITCH_TO_EQUITY
63013,29400,3,high,5,intermediate,6,0.33,44829,135899,3496,True,6,12,180728,24.8,0.0555,18,BUY
91055,12787,5,low,4,intermediate,11,0.31,156992,422986,0,False,0,1,579978,27.07,0.0,1,DIVERSIFY_PORTFOLIO
33503,33276,6,high,5,beginner,4,0.49,420106,374324,2142,True,12,3,794430,52.88,0.0639,15,INCREASE_SIP
90135,37502,4,low,5,intermediate,6,0.25,396932,432155,0,False,11,10,829087,47.88,0.0,21,HOLD
49968,21727,1,medium,3,expert,8,0.54,66365,257148,5647,True,7,6,323513,20.51,0.113,13,SELL
57481,3872,12,high,3,beginner,4,0.18,24079,147809,11313,True,16,8,171888,14.01,0.1968,24,BUY
62362,2025,4,high,0,beginner,2,0.11,193246,324722,8784,True,4,10,517968,37.31,0.1409,14,STOP_SIP
81365,4986,10,high,4,intermediate,5,0.38,211795,460615,0,False,6,8,672410,31.5,0.0,14,SWITCH_TO_EQUITY
47676,16406,10,medium,0,intermediate,5,0.45,92985,229954,0,False,10,0,322939,28.79,0.0,10,START_SIP
72414,5338,15,high,2,intermediate,12,0.45,438801,24994,0,False,12,6,463795,94.61,0.0,18,REBALANCE
60533,9961,4,low,2,intermediate,2,0.26,403816,403241,12580,True,4,13,807057,50.04,0.2078,17,EMERGENCY_FUND_BUILD
56160,2247,13,low,4,beginner,7,0.01,260920,116028,22434,True,12,1,376948,69.22,0.3995,13,STOP_SIP
29095,19674,7,low,0,intermediate,5,0.33,315086,50825,3807,True,15,15,365911,86.11,0.1308,30,REBALANCE
75149,27993,10,high,0,beginner,9,0.11,83082,294583,13474,True,4,9,377665,22.0,0.1793,13,INCREASE_SIP
73639,31472,7,medium,2,expert,7,0.18,408495,86572,0,False,12,5,495067,82.51,0.0,17,REBALANCE
20192,34228,10,high,2,intermediate,9,0.47,178188,145667,18641,True,12,6,323855,55.02,0.9232,18,REDUCE_SIP
41672,14008,4,medium,3,expert,5,0.2,478450,167930,0,False,19,1,646380,74.02,0.0,20,HOLD
38744,3971,13,medium,2,intermediate,9,0.03,275141,320651,23675,True,1,7,595792,46.18,0.6111,8,HOLD
42700,30295,5,medium,5,expert,10,0.51,379886,136172,0,False,1,5,516058,73.61,0.0,6,HOLD
99698,34712,4,low,1,intermediate,9,0.42,236191,429554,0,False,15,0,665745,35.48,0.0,15,HOLD
79049,42986,7,high,4,expert,12,0.36,216528,273294,0,False,9,4,489822,44.21,0.0,13,START_SIP
24078,22386,12,high,1,beginner,9,0.11,130008,458107,8742,True,4,9,588115,22.11,0.3631,13,INCREASE_SIP
99015,15538,3,low,4,expert,11,0.29,266512,238255,4647,True,18,6,504767,52.8,0.0469,24,SWITCH_TO_DEBT
36693,25501,8,medium,4,beginner,10,0.09,309722,392495,24236,True,8,4,702217,44.11,0.6605,12,REDUCE_SIP
33746,23691,1,high,3,beginner,12,0.59,5246,10052,19625,True,12,2,15298,34.29,0.5816,14,SELL
65026,35043,15,low,5,intermediate,5,0.2,223085,147450,17314,True,19,6,370535,60.21,0.2663,25,INCREASE_SIP
93719,19259,2,low,1,intermediate,10,0.14,29813,390287,12682,True,1,0,420100,7.1,0.1353,1,DIVERSIFY_PORTFOLIO
50847,41998,1,high,0,expert,0,0.39,490267,249974,13939,True,3,11,740241,66.23,0.2741,14,EMERGENCY_FUND_BUILD
53479,28928,13,low,5,expert,7,0.45,353613,68400,1343,True,12,0,422013,83.79,0.0251,12,REBALANCE
46836,2096,8,medium,3,beginner,11,0.06,369992,407724,5333,True,5,12,777716,47.57,0.1139,17,STOP_SIP
50254,2885,1,medium,2,expert,9,0.23,53880,159414,13989,True,18,8,213294,25.26,0.2784,26,STOP_SIP
64348,2875,8,medium,2,intermediate,10,0.56,380785,344484,0,False,1,1,725269,52.5,0.0,2,DIVERSIFY_PORTFOLIO
27601,8709,13,high,1,expert,4,0.04,134091,219535,0,False,9,7,353626,37.92,0.0,16,SWITCH_TO_EQUITY
56713,43760,4,medium,0,beginner,12,0.34,432676,198628,24738,True,19,4,631304,68.54,0.4362,23,CONTINUE_SIP
91873,13155,6,medium,3,intermediate,3,0.31,233289,313487,0,False,5,13,546776,42.67,0.0,18,EMERGENCY_FUND_BUILD
45431,27185,7,high,5,expert,12,0.14,68784,77246,0,False,2,13,146030,47.1,0.0,15,START_SIP
48853,3564,11,high,1,beginner,4,0.28,303836,372522,7761,True,0,2,676358,44.92,0.1589,2,DIVERSIFY_PORTFOLIO
91246,29969,14,high,5,expert,11,0.05,396326,297149,4765,True,2,8,693475,57.15,0.0522,10,INCREASE_SIP
34226,19490,12,medium,4,beginner,6,0.38,174313,375236,5942,True,6,10,549549,31.72,0.1736,16,INCREASE_SIP
98885,8745,8,medium,5,intermediate,7,0.35,31082,445945,22041,True,18,15,477027,6.52,0.2229,33,CONTINUE_SIP
21552,22446,1,medium,4,intermediate,0,0.06,3730,100607,0,False,10,1,104337,3.57,0.0,11,EMERGENCY_FUND_BUILD
80156,8499,7,low,3,expert,4,0.4,350062,245171,0,False,2,0,595233,58.81,0.0,2,DIVERSIFY_PORTFOLIO
37100,21513,1,medium,3,intermediate,12,0.41,208967,292687,0,False,8,1,501654,41.66,0.0,9,SELL
38017,38578,1,high,2,beginner,0,0.41,30977,103406,20656,True,8,14,134383,23.05,0.5433,22,EMERGENCY_FUND_BUILD
58493,9084,9,high,5,expert,11,0.37,223867,444081,0,False,16,6,667948,33.52,0.0,22,SWITCH_TO_EQUITY
26487,21856,1,medium,0,intermediate,9,0.4,10664,74009,0,False,0,6,84673,12.59,0.0,6,SELL
44136,11476,9,medium,0,beginner,9,0.11,397390,22716,0,False,6,14,420106,94.59,0.0,20,REBALANCE
40431,26685,8,medium,3,expert,7,0.09,367860,343231,0,False,1,8,711091,51.73,0.0,9,START_SIP
33336,3324,9,high,0,intermediate,1,0.23,26333,341385,21838,True,1,13,367718,7.16,0.6551,14,BUY
38768,17549,3,low,3,intermediate,6,0.12,32795,410030,16604,True,0,11,442825,7.41,0.4283,11,REDUCE_SIP
51514,21852,6,high,0,intermediate,9,0.33,42474,451700,1805,True,4,10,494174,8.59,0.035,14,INCREASE_SIP
71127,46765,12,low,1,intermediate,10,0.38,181520,302535,4470,True,6,14,484055,37.5,0.0628,20,INCREASE_SIP
91200,39872,9,medium,4,expert,7,0.4,116350,263824,15234,True,5,9,380174,30.6,0.167,14,REDUCE_SIP
77558,35978,3,low,0,expert,9,0.05,350925,168709,0,False,3,11,519634,67.53,0.0,14,SWITCH_TO_DEBT
98944,5442,6,high,4,beginner,10,0.59,356175,79419,0,False,18,10,435594,81.77,0.0,28,REBALANCE
66489,14277,8,medium,2,beginner,12,0.23,393509,220645,0,False,2,2,614154,64.07,0.0,4,START_SIP
71047,19105,1,low,3,expert,6,0.58,263165,113020,11289,True,5,15,376185,69.96,0.1589,20,SELL
71697,19979,14,high,1,expert,5,0.29,392826,418345,4388,True,2,5,811171,48.43,0.0612,7,INCREASE_SIP
48546,21875,3,high,5,beginner,2,0.37,31567,110821,0,False,12,15,142388,22.17,0.0,27,EMERGENCY_FUND_BUILD
78940,8472,13,high,5,beginner,5,0.23,232742,462692,0,False,10,9,695434,33.47,0.0,19,SWITCH_TO_EQUITY
60232,25358,3,low,2,beginner,11,0.03,497544,485315,0,False,7,14,982859,50.62,0.0,21,SWITCH_TO_DEBT
63284,2551,1,low,0,beginner,6,0.54,407090,43048,1293,True,7,0,450138,90.44,0.0204,7,STOP_SIP
36184,5641,1,medium,2,expert,8,0.41,279098,64105,18594,True,18,9,343203,81.32,0.5139,27,SELL
30561,4976,12,high,1,expert,9,0.03,86263,287075,0,False,4,4,373338,23.11,0.0,8,BUY
67829,34074,7,medium,1,intermediate,7,0.1,219088,22434,13808,True,10,8,241522,90.71,0.2036,18,REBALANCE
75114,45077,14,high,0,beginner,1,0.48,499438,236687,0,False,14,9,736125,67.85,0.0,23,EMERGENCY_FUND_BUILD
35764,11154,7,high,2,intermediate,5,0.13,292031,254856,24196,True,18,5,546887,53.4,0.6765,23,CONTINUE_SIP
36321,2899,9,high,4,intermediate,8,0.18,216199,291739,7179,True,6,2,507938,42.56,0.1977,8,STOP_SIP
43559,28863,3,low,4,beginner,3,0.21,486970,46689,10922,True,1,9,533659,91.25,0.2507,10,EMERGENCY_FUND_BUILD
26304,7174,1,medium,4,intermediate,4,0.25,151391,277352,11260,True,18,15,428743,35.31,0.4281,33,SELL
57131,44835,3,high,3,expert,7,0.32,23594,302900,0,False,0,5,326494,7.23,0.0,5,BUY
41601,31356,1,high,2,beginner,4,0.21,170389,342211,0,False,6,15,512600,33.24,0.0,21,SELL
57116,9418,11,high,0,expert,6,0.34,226817,415719,0,False,15,11,642536,35.3,0.0,26,SWITCH_TO_EQUITY
57044,21039,7,medium,4,expert,11,0.29,447668,11968,0,False,15,2,459636,97.4,0.0,17,REBALANCE
26937,5977,15,high,4,expert,11,0.41,221863,316652,6293,True,4,3,538515,41.2,0.2336,7,REDUCE_SIP
65761,13227,1,low,0,beginner,1,0.12,423529,159909,0,False,10,14,583438,72.59,0.0,24,SELL
39799,5435,15,medium,0,expert,6,0.16,109381,355926,3359,True,0,5,465307,23.51,0.0844,5,CONTINUE_SIP
